County,Year,Indicator,Value,Geolocation
Tana River,2005,Kenya average flu incidence,63.3,"(-1.584971, 39.536272)"
Tana River,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.584971, 39.536272)"
Tana River,2009,% Employed (age 5 and over) female rural,80,"(-1.584971, 39.536272)"
Tana River,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,30.8,"(-1.584971, 39.536272)"
Tana River,2009,% Economically Inactive (aged 5 and over)female rural,7.6,"(-1.584971, 39.536272)"
Tana River,2009,% Employment status unclassified (aged 5 and over)female rural,35.3,"(-1.584971, 39.536272)"
Tana River,2009,% Employed (age 5 and over) male rural,79,"(-1.584971, 39.536272)"
Tana River,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,45,"(-1.584971, 39.536272)"
Tana River,2009,% Economically Inactive (aged 5 and over) male rural,9.4,"(-1.584971, 39.536272)"
Tana River,2009,% Employment status unclassified (aged 5 and over)male rural,17.7,"(-1.584971, 39.536272)"
Tana River,2009,% Employed (age 5 and over) female urban,81.5,"(-1.584971, 39.536272)"
Tana River,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,19.3,"(-1.584971, 39.536272)"
Tana River,2009, % Economically Inactive (aged 5 and over)female urban,10.6,"(-1.584971, 39.536272)"
Tana River,2009,% Employment status unclassified (aged 5 and over) female urban,46.6,"(-1.584971, 39.536272)"
Tana River,2009,% Employed (age 5 and over) male urban,79.3,"(-1.584971, 39.536272)"
Tana River,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,31.1,"(-1.584971, 39.536272)"
Tana River,2009, % Economically Inactive (aged 5 and over)male urban,14.4,"(-1.584971, 39.536272)"
Tana River,2009,% Employment status unclassified (aged 5 and over)male urban,28.6,"(-1.584971, 39.536272)"
Tana River,2005,Morbidity rates male,15.7,"(-1.584971, 39.536272)"
Tana River,2005,Morbidity rates female,23.5,"(-1.584971, 39.536272)"
Tharaka Nithi,2009,Urban households access to electricty,16.9,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,Rural households access to electricty,1.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,Rural households access to piped water,12.2,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,Urban households access to piped water,6.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.4,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,"Urban Access to main sewer, sceptic tank or cess pit",0.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,%  with Pre-Primary education,12.3,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,%  with Primary education,75.1,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,%  with Secondary education,10.4,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,"%  with Tertiary education, university or youth polytechnic",2.1,"(-0.227324, 37.882411)"
Tharaka Nithi,2005,Incidence of Flu,3.5,"(-0.227324, 37.882411)"
Tharaka Nithi,2005,Incidence of Fever/Malaria,33.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2005,Kenya average flu incidence,63.3,"(-0.227324, 37.882411)"
Tharaka Nithi,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employed (age 5 and over) female rural,84.5,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,53.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Economically Inactive (aged 5 and over)female rural,2.2,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employment status unclassified (aged 5 and over)female rural,26.4,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employed (age 5 and over) male rural,83,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,53.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Economically Inactive (aged 5 and over) male rural,2.1,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employment status unclassified (aged 5 and over)male rural,24.9,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employed (age 5 and over) female urban,87.4,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,43.5,"(-0.227324, 37.882411)"
Tharaka Nithi,2009, % Economically Inactive (aged 5 and over)female urban,4.5,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employment status unclassified (aged 5 and over) female urban,31.3,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employed (age 5 and over) male urban,85.1,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,49.7,"(-0.227324, 37.882411)"
Tharaka Nithi,2009, % Economically Inactive (aged 5 and over)male urban,5.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2009,% Employment status unclassified (aged 5 and over)male urban,22.5,"(-0.227324, 37.882411)"
Tharaka Nithi,2005,Morbidity rates male,19.8,"(-0.227324, 37.882411)"
Tharaka Nithi,2005,Morbidity rates female,23.8,"(-0.227324, 37.882411)"
Trans Nzoia,2009,Urban households access to electricty,27.5,"(1.030597, 34.949297)"
Trans Nzoia,2009,Rural households access to electricty,2.9,"(1.030597, 34.949297)"
Trans Nzoia,2009,Rural households access to piped water,5.5,"(1.030597, 34.949297)"
Trans Nzoia,2009,Urban households access to piped water,30.5,"(1.030597, 34.949297)"
Trans Nzoia,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(1.030597, 34.949297)"
Trans Nzoia,2009,"Urban Access to main sewer, sceptic tank or cess pit",9.6,"(1.030597, 34.949297)"
Trans Nzoia,2009,%  with Pre-Primary education,16.4,"(1.030597, 34.949297)"
Trans Nzoia,2009,%  with Primary education,70.9,"(1.030597, 34.949297)"
Trans Nzoia,2009,%  with Secondary education,10.9,"(1.030597, 34.949297)"
Trans Nzoia,2009,"%  with Tertiary education, university or youth polytechnic",1.8,"(1.030597, 34.949297)"
Trans Nzoia,2005,Incidence of Flu,22.8,"(1.030597, 34.949297)"
Trans Nzoia,2005,Incidence of Fever/Malaria,34.8,"(1.030597, 34.949297)"
Trans Nzoia,2005,Kenya average flu incidence,63.3,"(1.030597, 34.949297)"
Trans Nzoia,2005,Kenya average Fever/Malaria incidence,41.4,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employed (age 5 and over) female rural,82.7,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,35.5,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Economically Inactive (aged 5 and over)female rural,4.2,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employment status unclassified (aged 5 and over)female rural,40.5,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employed (age 5 and over) male rural,82,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,40.1,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Economically Inactive (aged 5 and over) male rural,4.7,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employment status unclassified (aged 5 and over)male rural,34.5,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employed (age 5 and over) female urban,83.7,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,27.5,"(1.030597, 34.949297)"
Trans Nzoia,2009, % Economically Inactive (aged 5 and over)female urban,7.3,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employment status unclassified (aged 5 and over) female urban,46.3,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employed (age 5 and over) male urban,81.4,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,40.4,"(1.030597, 34.949297)"
Trans Nzoia,2009, % Economically Inactive (aged 5 and over)male urban,6.1,"(1.030597, 34.949297)"
Trans Nzoia,2009,% Employment status unclassified (aged 5 and over)male urban,32.7,"(1.030597, 34.949297)"
Trans Nzoia,2005,Morbidity rates male,29.2,"(1.030597, 34.949297)"
Trans Nzoia,2005,Morbidity rates female,35.6,"(1.030597, 34.949297)"
Turkana,2009,Urban households access to electricty,10.4,"(3.318344, 35.401457)"
Turkana,2009,Rural households access to electricty,0.6,"(3.318344, 35.401457)"
Turkana,2009,Rural households access to piped water,4.2,"(3.318344, 35.401457)"
Turkana,2009,Urban households access to piped water,47.7,"(3.318344, 35.401457)"
Turkana,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(3.318344, 35.401457)"
Turkana,2009,"Urban Access to main sewer, sceptic tank or cess pit",1,"(3.318344, 35.401457)"
Turkana,2009,%  with Pre-Primary education,17.6,"(3.318344, 35.401457)"
Turkana,2009,%  with Primary education,71,"(3.318344, 35.401457)"
Turkana,2009,%  with Secondary education,9.5,"(3.318344, 35.401457)"
Turkana,2009,"%  with Tertiary education, university or youth polytechnic",1.5,"(3.318344, 35.401457)"
Turkana,2005,Incidence of Flu,4.7,"(3.318344, 35.401457)"
Turkana,2005,Incidence of Fever/Malaria,55.4,"(3.318344, 35.401457)"
Turkana,2005,Kenya average flu incidence,63.3,"(3.318344, 35.401457)"
Turkana,2005,Kenya average Fever/Malaria incidence,41.4,"(3.318344, 35.401457)"
Turkana,2009,% Employed (age 5 and over) female rural,86.9,"(3.318344, 35.401457)"
Turkana,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,43.1,"(3.318344, 35.401457)"
Turkana,2009,% Economically Inactive (aged 5 and over)female rural,9.5,"(3.318344, 35.401457)"
Turkana,2009,% Employment status unclassified (aged 5 and over)female rural,19.8,"(3.318344, 35.401457)"
Turkana,2009,% Employed (age 5 and over) male rural,87,"(3.318344, 35.401457)"
Turkana,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,49.8,"(3.318344, 35.401457)"
Turkana,2009,% Economically Inactive (aged 5 and over) male rural,10.4,"(3.318344, 35.401457)"
Turkana,2009,% Employment status unclassified (aged 5 and over)male rural,10.3,"(3.318344, 35.401457)"
Turkana,2009,% Employed (age 5 and over) female urban,83.3,"(3.318344, 35.401457)"
Turkana,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,17,"(3.318344, 35.401457)"
Turkana,2009, % Economically Inactive (aged 5 and over)female urban,17.2,"(3.318344, 35.401457)"
Turkana,2009,% Employment status unclassified (aged 5 and over) female urban,32.2,"(3.318344, 35.401457)"
Turkana,2009,% Employed (age 5 and over) male urban,81.6,"(3.318344, 35.401457)"
Turkana,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,20.1,"(3.318344, 35.401457)"
Turkana,2009, % Economically Inactive (aged 5 and over)male urban,19.1,"(3.318344, 35.401457)"
Turkana,2009,% Employment status unclassified (aged 5 and over)male urban,26.4,"(3.318344, 35.401457)"
Turkana,2005,Morbidity rates male,41.6,"(3.318344, 35.401457)"
Turkana,2005,Morbidity rates female,48.2,"(3.318344, 35.401457)"
Uasin Gichu,2009,Urban households access to electricty,51.3,
Uasin Gichu,2009,Rural households access to electricty,6.6,
Uasin Gichu,2009,Rural households access to piped water,5.7,
Uasin Gichu,2009,Urban households access to piped water,61.7,
Uasin Gichu,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.7,
Uasin Gichu,2009,"Urban Access to main sewer, sceptic tank or cess pit",23.7,
Uasin Gichu,2009,%  with Pre-Primary education,16.7,
Uasin Gichu,2009,%  with Primary education,61.6,
Uasin Gichu,2009,%  with Secondary education,13.1,
Uasin Gichu,2009,"%  with Tertiary education, university or youth polytechnic",8.4,
Uasin Gichu,2005,Incidence of Flu,18.9,
Uasin Gichu,2005,Incidence of Fever/Malaria,43.4,
Uasin Gichu,2005,Kenya average flu incidence,17.1,
Uasin Gichu,2005,Kenya average Fever/Malaria incidence,17.9,
Uasin Gichu,2009,% Employed (age 5 and over) female rural,84.3,
Uasin Gichu,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,26,
Uasin Gichu,2009,% Economically Inactive (aged 5 and over)female rural,4.7,
Uasin Gichu,2009,% Employment status unclassified (aged 5 and over)female rural,46.4,
Uasin Gichu,2009,% Employed (age 5 and over) male rural,83.9,
Uasin Gichu,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,36.1,
Uasin Gichu,2009,% Economically Inactive (aged 5 and over) male rural,6.6,
Uasin Gichu,2009,% Employment status unclassified (aged 5 and over)male rural,34,
Uasin Gichu,2009,% Employed (age 5 and over) female urban,85,
Uasin Gichu,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,29.2,
Uasin Gichu,2009, % Economically Inactive (aged 5 and over)female urban,7.1,
Uasin Gichu,2009,% Employment status unclassified (aged 5 and over) female urban,41.9,
Uasin Gichu,2009,% Employed (age 5 and over) male urban,83.4,
Uasin Gichu,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,42.8,
Uasin Gichu,2009, % Economically Inactive (aged 5 and over)male urban,5.8,
Uasin Gichu,2009,% Employment status unclassified (aged 5 and over)male urban,29,
Uasin Gichu,2005,Morbidity rates male,17.1,
Uasin Gichu,2005,Morbidity rates female,17.9,
Vihiga,2009,Urban households access to electricty,10.8,"(0.3, 34.93333)"
Vihiga,2009,Rural households access to electricty,5.3,"(0.3, 34.93333)"
Vihiga,2009,Rural households access to piped water,3.2,"(0.3, 34.93333)"
Vihiga,2009,Urban households access to piped water,7.2,"(0.3, 34.93333)"
Vihiga,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(0.3, 34.93333)"
Vihiga,2009,"Urban Access to main sewer, sceptic tank or cess pit",1.2,"(0.3, 34.93333)"
Vihiga,2009,%  with Pre-Primary education,14,"(0.3, 34.93333)"
Vihiga,2009,%  with Primary education,71.2,"(0.3, 34.93333)"
Vihiga,2009,%  with Secondary education,12.7,"(0.3, 34.93333)"
Vihiga,2009,"%  with Tertiary education, university or youth polytechnic",2,"(0.3, 34.93333)"
Vihiga,2005,Incidence of Flu,19.3,"(0.3, 34.93333)"
Vihiga,2005,Incidence of Fever/Malaria,33.4,"(0.3, 34.93333)"
Vihiga,2005,Kenya average flu incidence,17.1,"(0.3, 34.93333)"
Vihiga,2005,Kenya average Fever/Malaria incidence,17.9,"(0.3, 34.93333)"
Vihiga,2009,% Employed (age 5 and over) female rural,85.1,"(0.3, 34.93333)"
Vihiga,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,36.7,"(0.3, 34.93333)"
Vihiga,2009,% Economically Inactive (aged 5 and over)female rural,5.4,"(0.3, 34.93333)"
Vihiga,2009,% Employment status unclassified (aged 5 and over)female rural,39.4,"(0.3, 34.93333)"
Vihiga,2009,% Employed (age 5 and over) male rural,83.1,"(0.3, 34.93333)"
Vihiga,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,36.4,"(0.3, 34.93333)"
Vihiga,2009,% Economically Inactive (aged 5 and over) male rural,6.4,"(0.3, 34.93333)"
Vihiga,2009,% Employment status unclassified (aged 5 and over)male rural,36.5,"(0.3, 34.93333)"
Vihiga,2009,% Employed (age 5 and over) female urban,85.5,"(0.3, 34.93333)"
Vihiga,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.8,"(0.3, 34.93333)"
Vihiga,2009, % Economically Inactive (aged 5 and over)female urban,6.7,"(0.3, 34.93333)"
Vihiga,2009,% Employment status unclassified (aged 5 and over) female urban,38.9,"(0.3, 34.93333)"
Vihiga,2009,% Employed (age 5 and over) male urban,83.5,"(0.3, 34.93333)"
Vihiga,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,36.5,"(0.3, 34.93333)"
Vihiga,2009, % Economically Inactive (aged 5 and over)male urban,7.9,"(0.3, 34.93333)"
Vihiga,2009,% Employment status unclassified (aged 5 and over)male urban,34.8,"(0.3, 34.93333)"
Vihiga,2005,Morbidity rates male,19.3,"(0.3, 34.93333)"
Vihiga,2005,Morbidity rates female,33.4,"(0.3, 34.93333)"
Wajir,2009,Urban households access to electricty,20.2,"(1.895541, 40.07933)"
Wajir,2009,Rural households access to electricty,0.1,"(1.895541, 40.07933)"
Wajir,2009,Rural households access to piped water,1.3,"(1.895541, 40.07933)"
Wajir,2009,Urban households access to piped water,2.4,"(1.895541, 40.07933)"
Wajir,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.1,"(1.895541, 40.07933)"
Wajir,2009,"Urban Access to main sewer, sceptic tank or cess pit",3,"(1.895541, 40.07933)"
Wajir,2009,%  with Pre-Primary education,3.6,"(1.895541, 40.07933)"
Wajir,2009,%  with Primary education,64.4,"(1.895541, 40.07933)"
Wajir,2009,%  with Secondary education,9,"(1.895541, 40.07933)"
Wajir,2009,"%  with Tertiary education, university or youth polytechnic",0.9,"(1.895541, 40.07933)"
Wajir,2005,Incidence of Flu,7.2,"(1.895541, 40.07933)"
Wajir,2005,Incidence of Fever/Malaria,54.8,"(1.895541, 40.07933)"
Wajir,2005,Kenya average flu incidence,17.1,"(1.895541, 40.07933)"
Wajir,2005,Kenya average Fever/Malaria incidence,17.9,"(1.895541, 40.07933)"
Wajir,2009,% Employed (age 5 and over) female rural,84.8,"(1.895541, 40.07933)"
Wajir,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,27,"(1.895541, 40.07933)"
Wajir,2009,% Economically Inactive (aged 5 and over)female rural,18.7,"(1.895541, 40.07933)"
Wajir,2009,% Employment status unclassified (aged 5 and over)female rural,29.7,"(1.895541, 40.07933)"
Wajir,2009,% Employed (age 5 and over) male rural,86.5,"(1.895541, 40.07933)"
Wajir,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,36.5,"(1.895541, 40.07933)"
Wajir,2009,% Economically Inactive (aged 5 and over) male rural,22,"(1.895541, 40.07933)"
Wajir,2009,% Employment status unclassified (aged 5 and over)male rural,18.6,"(1.895541, 40.07933)"
Wajir,2009,% Employed (age 5 and over) female urban,84.6,"(1.895541, 40.07933)"
Wajir,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,11.5,"(1.895541, 40.07933)"
Wajir,2009, % Economically Inactive (aged 5 and over)female urban,27.6,"(1.895541, 40.07933)"
Wajir,2009,% Employment status unclassified (aged 5 and over) female urban,38.5,"(1.895541, 40.07933)"
Wajir,2009,% Employed (age 5 and over) male urban,84.2,"(1.895541, 40.07933)"
Wajir,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,17.1,"(1.895541, 40.07933)"
Wajir,2009, % Economically Inactive (aged 5 and over)male urban,29.4,"(1.895541, 40.07933)"
Wajir,2009,% Employment status unclassified (aged 5 and over)male urban,31.7,"(1.895541, 40.07933)"
Wajir,2005,Morbidity rates male,14.4,"(1.895541, 40.07933)"
Wajir,2005,Morbidity rates female,18.3,"(1.895541, 40.07933)"
West Pokot,2009,Urban households access to electricty,21.1,"(1.575837, 35.316901)"
West Pokot,2009,Rural households access to electricty,0.6,"(1.575837, 35.316901)"
West Pokot,2009,Rural households access to piped water,1.3,"(1.575837, 35.316901)"
West Pokot,2009,Urban households access to piped water,2.4,"(1.575837, 35.316901)"
West Pokot,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.1,"(1.575837, 35.316901)"
West Pokot,2009,"Urban Access to main sewer, sceptic tank or cess pit",3,"(1.575837, 35.316901)"
West Pokot,2009,%  with Pre-Primary education,20.6,"(1.575837, 35.316901)"
West Pokot,2009,%  with Primary education,72,"(1.575837, 35.316901)"
West Pokot,2009,%  with Secondary education,6.1,"(1.575837, 35.316901)"
West Pokot,2009,"%  with Tertiary education, university or youth polytechnic",1.2,"(1.575837, 35.316901)"
West Pokot,2005,Incidence of Flu,11.5,"(1.575837, 35.316901)"
West Pokot,2005,Incidence of Fever/Malaria,60.4,"(1.575837, 35.316901)"
West Pokot,2005,Kenya average flu incidence,17.1,"(1.575837, 35.316901)"
West Pokot,2005,Kenya average Fever/Malaria incidence,17.9,"(1.575837, 35.316901)"
West Pokot,2009,% Employed (age 5 and over) female rural,81.1,"(1.575837, 35.316901)"
West Pokot,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,38.2,"(1.575837, 35.316901)"
West Pokot,2009,% Economically Inactive (aged 5 and over)female rural,5.3,"(1.575837, 35.316901)"
West Pokot,2009,% Employment status unclassified (aged 5 and over)female rural,32.4,"(1.575837, 35.316901)"
West Pokot,2009,% Employed (age 5 and over) male rural,80.4,"(1.575837, 35.316901)"
West Pokot,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,43.6,"(1.575837, 35.316901)"
West Pokot,2009,% Economically Inactive (aged 5 and over) male rural,6.3,"(1.575837, 35.316901)"
West Pokot,2009,% Employment status unclassified (aged 5 and over)male rural,24.6,"(1.575837, 35.316901)"
West Pokot,2009,% Employed (age 5 and over) female urban,82.3,"(1.575837, 35.316901)"
West Pokot,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,24.6,"(1.575837, 35.316901)"
West Pokot,2009, % Economically Inactive (aged 5 and over)female urban,4.8,"(1.575837, 35.316901)"
West Pokot,2009,% Employment status unclassified (aged 5 and over) female urban,51.7,"(1.575837, 35.316901)"
West Pokot,2009,% Employed (age 5 and over) male urban,80.4,"(1.575837, 35.316901)"
West Pokot,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,32.6,"(1.575837, 35.316901)"
West Pokot,2009, % Economically Inactive (aged 5 and over)male urban,6,"(1.575837, 35.316901)"
West Pokot,2009,% Employment status unclassified (aged 5 and over)male urban,40.5,"(1.575837, 35.316901)"
West Pokot,2005,Morbidity rates male,13.3,"(1.575837, 35.316901)"
West Pokot,2005,Morbidity rates female,16.7,"(1.575837, 35.316901)"
