"type","region","district","ward","village","population","in shapefile"
"village","Dodoma","Chamwino","Igandu","Nghaheleze",6227,"n"
"village","Dodoma","Chamwino","Igandu","Chinoje",2055,"n"
"ward","Dodoma","Chamwino","Muungano","",10745,"y"
"village","Dodoma","Chamwino","Muungano","Muungano",5154,"n"
"village","Dodoma","Chamwino","Muungano","Mzula",2198,"n"
"village","Dodoma","Chamwino","Muungano","Ilolo",3393,"n"
"ward","Dodoma","Chamwino","Mvumi Makulu","",7460,"y"
"village","Dodoma","Chamwino","Mvumi Makulu","Mvumimakulu",7460,"n"
"ward","Dodoma","Chamwino","Handali","",9854,"y"
"village","Dodoma","Chamwino","Handali","Handali",6609,"n"
"village","Dodoma","Chamwino","Handali","Chanhumba",3245,"n"
"ward","Dodoma","Chamwino","Mvumi Mission","",16514,"y"
"village","Dodoma","Chamwino","Mvumi Mission","Mvumi Mission",12524,"n"
"village","Dodoma","Chamwino","Mvumi Mission","Ndebwe",3990,"n"
"ward","Dodoma","Chamwino","Idifu","",9609,"y"
"village","Dodoma","Chamwino","Idifu","Idifu",5297,"n"
"village","Dodoma","Chamwino","Idifu","Miganga",4312,"n"
"ward","Dodoma","Chamwino","Makang'wa","",20337,"y"
"village","Dodoma","Chamwino","Makang'wa","Mkang'wa",7347,"n"
"village","Dodoma","Chamwino","Makang'wa","Mlowabarabarani",7687,"n"
"village","Dodoma","Chamwino","Makang'wa","Mloda",5303,"n"
"ward","Dodoma","Chamwino","Iringa Mvumi Zamani","",11313,"n"
"village","Dodoma","Chamwino","Iringa Mvumi Zamani","Iringa Mvumi Zamani",1036,"n"
"village","Dodoma","Chamwino","Iringa Mvumi Zamani","Iringa Mvumi",1257,"n"
"village","Dodoma","Chamwino","Iringa Mvumi Zamani","Ikombolingo",4193,"n"
"village","Dodoma","Chamwino","Iringa Mvumi Zamani","Chita",1896,"n"
"village","Dodoma","Chamwino","Iringa Mvumi Zamani","Iringa Mvumi Mpya",2931,"n"
"ward","Dodoma","Chamwino","Manzase","",11485,"y"
"village","Dodoma","Chamwino","Manzase","Manzase",5561,"n"
"village","Dodoma","Chamwino","Manzase","Sasajila",3877,"n"
"village","Dodoma","Chamwino","Manzase","Ilewelo",2047,"n"
"ward","Dodoma","Chamwino","Fufu","",3469,"y"
"village","Dodoma","Chamwino","Fufu","Fufu",1846,"n"
"village","Dodoma","Chamwino","Fufu","Suli",1623,"n"
"ward","Dodoma","Chamwino","Mlowa Bwawani","",9031,"y"
"village","Dodoma","Chamwino","Mlowa Bwawani","Mlowa Bwawani",6422,"n"
"village","Dodoma","Chamwino","Mlowa Bwawani","Wiliko",2609,"n"
"ward","Dodoma","Chamwino","Mpwayungu","",12634,"y"
"village","Dodoma","Chamwino","Mpwayungu","Mpwayungu",9025,"n"
"village","Dodoma","Chamwino","Mpwayungu","Nagulo",3609,"n"
"ward","Dodoma","Chamwino","Nghambaku","",7339,"y"
"village","Dodoma","Chamwino","Nghambaku","Nghambaku",2845,"n"
"village","Dodoma","Chamwino","Nghambaku","Ndogowe",4494,"n"
"ward","Dodoma","Chamwino","Chinugulu","",5216,"y"
"village","Dodoma","Chamwino","Chinugulu","Chinugulu",5216,"n"
"ward","Dodoma","Chamwino","Manda","",9874,"y"
"village","Dodoma","Chamwino","Manda","Manda",5502,"n"
"village","Dodoma","Chamwino","Manda","Ilangali",4372,"n"
"ward","Dodoma","Chamwino","Huzi","",7589,"y"
"village","Dodoma","Chamwino","Huzi","Huzi",4386,"n"
"village","Dodoma","Chamwino","Huzi","Chifukulo",3203,"n"
"ward","Dodoma","Chamwino","Loje","",5134,"y"
"village","Dodoma","Chamwino","Loje","Loje",3441,"n"
"village","Dodoma","Chamwino","Loje","Igunguli",1693,"n"
"ward","Dodoma","Chamwino","Chiboli","",4679,"y"
"village","Dodoma","Chamwino","Chiboli","Nzasa",1398,"n"
"village","Dodoma","Chamwino","Chiboli","Chiboli",3281,"n"
"ward","Dodoma","Chamwino","Nhinhi","",7203,"y"
"village","Dodoma","Chamwino","Nhinhi","Nhinhi",4577,"n"
"village","Dodoma","Chamwino","Nhinhi","Nkwenda",2626,"n"
"ward","Dodoma","Chamwino","Zajilwa","",10553,"y"
"village","Dodoma","Chamwino","Zajilwa","Magungu",1431,"n"
"village","Dodoma","Chamwino","Zajilwa","Gwandi",3265,"n"
"village","Dodoma","Chamwino","Zajilwa","zajilwa",5857,"n"
"district","Dodoma","Dodoma","","",410956,"n"
"ward","Dodoma","Dodoma","Viwandani","",4883,"n"
"village","Dodoma","Dodoma","Viwandani","Marijani",781,"n"
"village","Dodoma","Dodoma","Viwandani","Samora",903,"n"
"village","Dodoma","Dodoma","Viwandani","Kinyali",1243,"n"
"village","Dodoma","Dodoma","Viwandani","Tofiki",1329,"n"
"village","Dodoma","Dodoma","Viwandani","Baruti",627,"n"
"ward","Dodoma","Dodoma","Uhuru","",2419,"n"
"village","Dodoma","Dodoma","Uhuru","Uhuru",619,"n"
"village","Dodoma","Dodoma","Uhuru","kati",634,"n"
"village","Dodoma","Dodoma","Uhuru","Kipande",821,"n"
"village","Dodoma","Dodoma","Uhuru","Mji mpya",346,"n"
"ward","Dodoma","Dodoma","Chamwino","",19175,"n"
"village","Dodoma","Dodoma","Chamwino","Maili mbili",1354,"n"
"village","Dodoma","Dodoma","Chamwino","Sokoine",2813,"n"
"village","Dodoma","Dodoma","Chamwino","Nduka",7460,"n"
"village","Dodoma","Dodoma","Chamwino","Mwaja",7548,"n"
"ward","Dodoma","Dodoma","Kiwanja/ndege","",10129,"n"
"village","Dodoma","Dodoma","Kiwanja/ndege","Mlimwa",1567,"n"
"village","Dodoma","Dodoma","Kiwanja/ndege","Chuo cha mipango",945,"n"
"village","Dodoma","Dodoma","Kiwanja/ndege","K'nja  cha ndege",1415,"n"
"village","Dodoma","Dodoma","Kiwanja/ndege","Makongoro",1652,"n"
"village","Dodoma","Dodoma","Kiwanja/ndege","Osterbay",4550,"n"
"ward","Dodoma","Dodoma","Makole","",10504,"n"
"village","Dodoma","Dodoma","Makole","Chimuli",1616,"n"
"village","Dodoma","Dodoma","Makole","Chadulu B",3805,"n"
"village","Dodoma","Dodoma","Makole","Makole",5082,"n"
"ward","Dodoma","Dodoma","Miyuji","",14965,"n"
"village","Dodoma","Dodoma","Miyuji","Miyuji Proper",2995,"n"
"village","Dodoma","Dodoma","Miyuji","Mpamaa",1910,"n"
"village","Dodoma","Dodoma","Miyuji","Mathias",10060,"n"
"ward","Dodoma","Dodoma","Msalato","",6718,"n"
"village","Dodoma","Dodoma","Msalato","Msalato",6718,"n"
"ward","Dodoma","Dodoma","Makutupora","",14430,"n"
"village","Dodoma","Dodoma","Makutupora","Weyula",11772,"n"
"village","Dodoma","Dodoma","Makutupora","Mchemwa",2658,"n"
"ward","Dodoma","Dodoma","Chihanga","",11004,"n"
"village","Dodoma","Dodoma","Chihanga","Gawaye",3559,"n"
"village","Dodoma","Dodoma","Chihanga","Chihanga",2070,"n"
"village","Dodoma","Dodoma","Chihanga","Nzasa",5374,"n"
"ward","Dodoma","Dodoma","Hombolo","",22457,"n"
"village","Dodoma","Dodoma","Hombolo","Hombolo Makulu",6309,"n"
"village","Dodoma","Dodoma","Hombolo","Hombolo bwawani",8987,"n"
"village","Dodoma","Dodoma","Hombolo","Mkoyo",4540,"n"
"village","Dodoma","Dodoma","Hombolo","Zepisa",2620,"n"
"ward","Dodoma","Dodoma","Ipala","",6026,"n"
"village","Dodoma","Dodoma","Ipala","Ipala",6026,"n"
"ward","Dodoma","Dodoma","Nzuguni","",15466,"n"
"village","Dodoma","Dodoma","Nzuguni","Nzuguni",10657,"n"
"village","Dodoma","Dodoma","Nzuguni","Kitelela",1786,"n"
"village","Dodoma","Dodoma","Nzuguni","Mahomanyika",3023,"n"
"ward","Dodoma","Dodoma","Dodoma Makulu","",17097,"n"
"village","Dodoma","Dodoma","Dodoma Makulu","Dodoma Makulu",17097,"n"
"ward","Dodoma","Dodoma","Mtumba","",17268,"n"
"village","Dodoma","Dodoma","Mtumba","Mtumba",3395,"n"
"village","Dodoma","Dodoma","Mtumba","Vikonje",3296,"n"
"village","Dodoma","Dodoma","Mtumba","Ihumwa",10577,"n"
"ward","Dodoma","Dodoma","Kikombo","",8343,"n"
"village","Dodoma","Dodoma","Kikombo","Kikombo",4920,"n"
"village","Dodoma","Dodoma","Kikombo","Chilolo",3423,"n"
"ward","Dodoma","Dodoma","Ng'hong'honha","",9536,"n"
"village","Dodoma","Dodoma","Ng'hong'honha","Ng'hong'honha",2919,"n"
"village","Dodoma","Dodoma","Ng'hong'honha","Mapinduzi",6617,"n"
"ward","Dodoma","Dodoma","Mpunguzi","",17891,"n"
"village","Dodoma","Dodoma","Mpunguzi","Matumbulu",10619,"n"
"village","Dodoma","Dodoma","Mpunguzi","Nkulabi",7272,"n"
"ward","Dodoma","Dodoma","Tambukareli","",6584,"n"
"village","Dodoma","Dodoma","Tambukareli","Chadulu A",3852,"n"
"village","Dodoma","Dodoma","Tambukareli","Reli",2018,"n"
"village","Dodoma","Dodoma","Tambukareli","Salmin",714,"n"
"ward","Dodoma","Dodoma","Kilimani","",6471,"n"
"village","Dodoma","Dodoma","Kilimani","Kilimani",2157,"n"
"village","Dodoma","Dodoma","Kilimani","Nyerere",436,"n"
"village","Dodoma","Dodoma","Kilimani","Chinyoyo",2505,"n"
"village","Dodoma","Dodoma","Kilimani","Image",1373,"n"
"ward","Dodoma","Dodoma","Kikuyu-Kusini","",5974,"n"
"village","Dodoma","Dodoma","Kikuyu-Kusini","Maghorofani",1250,"n"
"village","Dodoma","Dodoma","Kikuyu-Kusini","Image1",1140,"n"
"village","Dodoma","Dodoma","Kikuyu-Kusini","Mkuyuni",692,"n"
"village","Dodoma","Dodoma","Kikuyu-Kusini","Mkalama",2215,"n"
"village","Dodoma","Dodoma","Kikuyu-Kusini","Maweni",677,"n"
"ward","Dodoma","Dodoma","Kikuyu-Kaskazini","",9852,"n"
"village","Dodoma","Dodoma","Kikuyu-Kaskazini","Kikuyu-Mission",2022,"n"
"village","Dodoma","Dodoma","Kikuyu-Kaskazini","Kikuyu",2662,"n"
"village","Dodoma","Dodoma","Kikuyu-Kaskazini","Zahanati",1361,"n"
"village","Dodoma","Dodoma","Kikuyu-Kaskazini","Kigamboni",1589,"n"
"village","Dodoma","Dodoma","Kikuyu-Kaskazini","Hazina-x",2218,"n"
"ward","Dodoma","Dodoma","Mkonze","",12515,"n"
"village","Dodoma","Dodoma","Mkonze","Mkonze",7693,"n"
"village","Dodoma","Dodoma","Mkonze","Michese",4822,"n"
"ward","Dodoma","Dodoma","Mbabala","",11901,"n"
"village","Dodoma","Dodoma","Mbabala","Mbabala 'A'",8293,"n"
"village","Dodoma","Dodoma","Mbabala","Mbabala 'B'",3608,"n"
"ward","Dodoma","Dodoma","Zuzu","",6485,"n"
"village","Dodoma","Dodoma","Zuzu","Zuzu",4250,"n"
"village","Dodoma","Dodoma","Zuzu","Chididimo",2235,"n"
"ward","Dodoma","Dodoma","Hazina","",9540,"n"
"village","Dodoma","Dodoma","Hazina","Hazina",2430,"n"
"village","Dodoma","Dodoma","Hazina","Mlezi",2506,"n"
"village","Dodoma","Dodoma","Hazina","Kinyambwa",3240,"n"
"village","Dodoma","Dodoma","Hazina","Itega",1364,"n"
"ward","Dodoma","Dodoma","Madukani","",2421,"n"
"village","Dodoma","Dodoma","Madukani","Sululu",351,"n"
"village","Dodoma","Dodoma","Madukani","Mmasi",349,"n"
"village","Dodoma","Dodoma","Madukani","Jamali",268,"n"
"village","Dodoma","Dodoma","Madukani","Kamili",1453,"n"
"ward","Dodoma","Dodoma","Majengo","",5214,"n"
"village","Dodoma","Dodoma","Majengo","Mnyampala",1104,"n"
"village","Dodoma","Dodoma","Majengo","Kitenge",2120,"n"
"village","Dodoma","Dodoma","Majengo","Mausi",355,"n"
"village","Dodoma","Dodoma","Majengo","Fatina",1635,"n"
"ward","Dodoma","Dodoma","Kizota","",34453,"n"
"village","Dodoma","Dodoma","Kizota","Sokoine",2252,"n"
"village","Dodoma","Dodoma","Kizota","Mkonongo",1619,"n"
"village","Dodoma","Dodoma","Kizota","Relini",2540,"n"
"village","Dodoma","Dodoma","Kizota","Bochela",3658,"n"
"village","Dodoma","Dodoma","Kizota","Salama",3885,"n"
"village","Dodoma","Dodoma","Kizota","Mtube",11738,"n"
"village","Dodoma","Dodoma","Kizota","Kisabuje",3235,"n"
"village","Dodoma","Dodoma","Kizota","Bwawani",1942,"n"
"village","Dodoma","Dodoma","Kizota","Mnyakongo",3584,"n"
"ward","Dodoma","Dodoma","Nala","",5567,"n"
"village","Dodoma","Dodoma","Nala","Chihoni",3186,"n"
"village","Dodoma","Dodoma","Nala","Nala",2381,"n"
"ward","Dodoma","Dodoma","Mbalawala","",8830,"n"
"village","Dodoma","Dodoma","Mbalawala","Mbalawala",4202,"n"
"village","Dodoma","Dodoma","Mbalawala","Lugala",4628,"n"
"ward","Dodoma","Dodoma","Ntyuka","",4558,"n"
"village","Dodoma","Dodoma","Ntyuka","Ntyuka",4558,"n"
"ward","Dodoma","Dodoma","Chigongwe","",7281,"n"
"village","Dodoma","Dodoma","Chigongwe","Msembeta",1574,"n"
"village","Dodoma","Dodoma","Chigongwe","Chigongwe",3372,"n"
"village","Dodoma","Dodoma","Chigongwe","Nghambala",2335,"n"
"ward","Dodoma","Dodoma","Chang'ombe","",25415,"n"
"village","Dodoma","Dodoma","Chang'ombe","Hamvu",5416,"n"
"village","Dodoma","Dodoma","Chang'ombe","Mazengo",7406,"n"
"village","Dodoma","Dodoma","Chang'ombe","Chang'ombe juu",4741,"n"
"village","Dodoma","Dodoma","Chang'ombe","Chilewa",7852,"n"
"ward","Dodoma","Dodoma","Iyumbu","",2700,"n"
"village","Dodoma","Dodoma","Iyumbu","Iyumbu",2700,"n"
"ward","Dodoma","Dodoma","Chahwa","",4365,"n"
"village","Dodoma","Dodoma","Chahwa","Mahoma makulu",2034,"n"
"village","Dodoma","Dodoma","Chahwa","Chahwa",2331,"n"
"ward","Dodoma","Dodoma","Mnadani","",14373,"n"
"village","Dodoma","Dodoma","Mnadani","Karume",4349,"n"
"village","Dodoma","Dodoma","Mnadani","Mnadani",6847,"n"
"village","Dodoma","Dodoma","Mnadani","Mbwanga",2239,"n"
"village","Dodoma","Dodoma","Mnadani","Ndachi",939,"n"
"ward","Dodoma","Dodoma","Ipagala","",18146,"n"
"village","Dodoma","Dodoma","Ipagala","Mlimwa West",2020,"n"
"village","Dodoma","Dodoma","Ipagala","Swaswa",3954,"n"
"village","Dodoma","Dodoma","Ipagala","Ilazo",3206,"n"
"village","Dodoma","Dodoma","Ipagala","Sulungai",4837,"n"
"village","Dodoma","Dodoma","Ipagala","Ipagala",4128,"n"
"district","Dodoma","Bahi","","",221645,"n"
"ward","Dodoma","Bahi","Makanda","",7896,"y"
"village","Dodoma","Bahi","Makanda","Makanda",5241,"n"
"village","Dodoma","Bahi","Makanda","Chonde",2655,"n"
"ward","Dodoma","Bahi","Lamaiti","",12268,"y"
"village","Dodoma","Bahi","Lamaiti","Bankolo",2594,"n"
"village","Dodoma","Bahi","Lamaiti","Lamaiti",5050,"n"
"village","Dodoma","Bahi","Lamaiti","Lukali",4625,"n"
"ward","Dodoma","Bahi","Babayu","",10126,"y"
"village","Dodoma","Bahi","Babayu","Kongogo",4256,"n"
"village","Dodoma","Bahi","Babayu","Babayu",3776,"n"
"village","Dodoma","Bahi","Babayu","Asanje",2095,"n"
"ward","Dodoma","Bahi","Zanka","",9886,"y"
"village","Dodoma","Bahi","Zanka","Zanka",1901,"n"
"village","Dodoma","Bahi","Zanka","Mayamaya",4008,"n"
"village","Dodoma","Bahi","Zanka","Mkondai",3977,"n"
"ward","Dodoma","Bahi","Msisi","",11847,"y"
"village","Dodoma","Bahi","Msisi","Kisima cha Ndege",4209,"n"
"village","Dodoma","Bahi","Msisi","Mchito",1751,"n"
"village","Dodoma","Bahi","Msisi","Msisi",3642,"n"
"village","Dodoma","Bahi","Msisi","Tinai",2246,"n"
"ward","Dodoma","Bahi","Mundemu","",8149,"y"
"village","Dodoma","Bahi","Mundemu","Nguji",2093,"n"
"village","Dodoma","Bahi","Mundemu","Mundemu",3639,"n"
"village","Dodoma","Bahi","Mundemu","Chilungulu",2417,"n"
"ward","Dodoma","Bahi","Bahi","",18293,"y"
"village","Dodoma","Bahi","Bahi","Uhelela",1953,"n"
"village","Dodoma","Bahi","Bahi","Bahi Sokoni",10410,"n"
"village","Dodoma","Bahi","Bahi","Nagulo Bahi",5929,"n"
"ward","Dodoma","Bahi","Mpamantwa","",12984,"y"
"village","Dodoma","Bahi","Mpamantwa","Bahi makulu",4902,"n"
"village","Dodoma","Bahi","Mpamantwa","Mpamantwa",4379,"n"
"village","Dodoma","Bahi","Mpamantwa","Mkakatika",3703,"n"
"ward","Dodoma","Bahi","Ibihwa","",11060,"y"
"village","Dodoma","Bahi","Ibihwa","Mnkola",4566,"n"
"village","Dodoma","Bahi","Ibihwa","Ibihwa",6494,"n"
"ward","Dodoma","Bahi","Ilindi","",9440,"y"
"village","Dodoma","Bahi","Ilindi","Mindola",3327,"n"
"village","Dodoma","Bahi","Ilindi","Ilindi",6113,"n"
"ward","Dodoma","Bahi","Kigwe","",15559,"y"
"village","Dodoma","Bahi","Kigwe","Kigwe",6063,"n"
"village","Dodoma","Bahi","Kigwe","Mpinga",5706,"n"
"village","Dodoma","Bahi","Kigwe","Mzogole",3790,"n"
"ward","Dodoma","Bahi","Chikola","",13668,"y"
"village","Dodoma","Bahi","Chikola","Chimendeli",6941,"n"
"village","Dodoma","Bahi","Chikola","Nghulagano",3915,"n"
"village","Dodoma","Bahi","Chikola","Chikola",2812,"n"
"ward","Dodoma","Bahi","Chipanga","",9654,"y"
"village","Dodoma","Bahi","Chipanga","Chipanga 'B'",3111,"n"
"village","Dodoma","Bahi","Chipanga","Chipanga 'A'",3390,"n"
"village","Dodoma","Bahi","Chipanga","Chiguluka",3154,"n"
"ward","Dodoma","Bahi","Chali","",11300,"y"
"village","Dodoma","Bahi","Chali","Chali Igongo",1628,"n"
"village","Dodoma","Bahi","Chali","Chali Isanga",3403,"n"
"village","Dodoma","Bahi","Chali","Chali Makulu",2541,"n"
"village","Dodoma","Bahi","Chali","Chikopelo",3728,"n"
"ward","Dodoma","Bahi","Nondwa","",15369,"y"
"village","Dodoma","Bahi","Nondwa","Nondwa",2914,"n"
"village","Dodoma","Bahi","Nondwa","Zejele",4151,"n"
"village","Dodoma","Bahi","Nondwa","Magaga",2630,"n"
"village","Dodoma","Bahi","Nondwa","Chifutuka",5674,"n"
"ward","Dodoma","Bahi","Mpalanga","",10228,"y"
"village","Dodoma","Bahi","Mpalanga","Nholi",1506,"n"
"village","Dodoma","Bahi","Mpalanga","Mpalanga",4882,"n"
"village","Dodoma","Bahi","Mpalanga","Chidilo",3841,"n"
"ward","Dodoma","Bahi","Ibugule","",8046,"y"
"village","Dodoma","Bahi","Ibugule","Ibugule",2345,"n"
"village","Dodoma","Bahi","Ibugule","Nkhome",5701,"n"
"ward","Dodoma","Bahi","Chibelela","",10033,"y"
"village","Dodoma","Bahi","Chibelela","Isangha",5148,"n"
"village","Dodoma","Bahi","Chibelela","Chibelela",4885,"n"
"ward","Dodoma","Bahi","Mwitikira","",7235,"y"
"village","Dodoma","Bahi","Mwitikira","Mwitikira",3442,"n"
"village","Dodoma","Bahi","Mwitikira","Mphangwe",3793,"n"
"ward","Dodoma","Bahi","Mtitaa","",8604,"y"
"village","Dodoma","Bahi","Mtitaa","Mtitaa",4940,"n"
"village","Dodoma","Bahi","Mtitaa","Nhyinila",3664,"n"
"district","Dodoma","Chemba","","",235711,"n"
"ward","Dodoma","Chemba","Makorongo","",15162,"y"
"village","Dodoma","Chemba","Makorongo","Maziwa",3304,"n"
"village","Dodoma","Chemba","Makorongo","Makorongo",3308,"n"
"village","Dodoma","Chemba","Makorongo","Babayu",4336,"n"
"village","Dodoma","Chemba","Makorongo","Chase",4215,"n"
"ward","Dodoma","Chemba","Ovada","",11648,"y"
"village","Dodoma","Chemba","Ovada","Takwa",1110,"n"
"village","Dodoma","Chemba","Ovada","Kinyamsindo",3338,"n"
"village","Dodoma","Chemba","Ovada","Mengu",893,"n"
"village","Dodoma","Chemba","Ovada","Ovada",2104,"n"
"village","Dodoma","Chemba","Ovada","Baaba",1537,"n"
"village","Dodoma","Chemba","Ovada","Jogolo",1702,"n"
"village","Dodoma","Chemba","Ovada","Dinae",963,"n"
"ward","Dodoma","Chemba","Msaada","",6349,"y"
"village","Dodoma","Chemba","Msaada","Machiga",1116,"n"
"village","Dodoma","Chemba","Msaada","Changamka",1319,"n"
"village","Dodoma","Chemba","Msaada","Msaada",2342,"n"
"village","Dodoma","Chemba","Msaada","Majengo mapya",340,"n"
"village","Dodoma","Chemba","Msaada","Songambele",1233,"n"
"ward","Dodoma","Chemba","Kimaha","",10602,"y"
"village","Dodoma","Chemba","Kimaha","Wisuzaje",665,"n"
"village","Dodoma","Chemba","Kimaha","Mwaikisabe",3790,"n"
"village","Dodoma","Chemba","Kimaha","Chukuruma",1633,"n"
"village","Dodoma","Chemba","Kimaha","Mwailanje",4513,"n"
"ward","Dodoma","Chemba","Churuku","",9260,"y"
"village","Dodoma","Chemba","Churuku","Jinjo",1930,"n"
"village","Dodoma","Chemba","Churuku","Churuku",3724,"n"
"village","Dodoma","Chemba","Churuku","Kinkima",3606,"n"
"ward","Dodoma","Chemba","Songoro","",10751,"y"
"village","Dodoma","Chemba","Songoro","Madaha",1885,"n"
"village","Dodoma","Chemba","Songoro","Chioli",1551,"n"
"village","Dodoma","Chemba","Songoro","Songoro",3836,"n"
"village","Dodoma","Chemba","Songoro","Hamai",3479,"n"
"ward","Dodoma","Chemba","Mondo","",9494,"y"
"village","Dodoma","Chemba","Mondo","Mondo",5270,"n"
"village","Dodoma","Chemba","Mondo","Pongai",1601,"n"
"village","Dodoma","Chemba","Mondo","Waida",2622,"n"
"ward","Dodoma","Chemba","Dalai","",15078,"y"
"village","Dodoma","Chemba","Dalai","Dalai",2765,"n"
"village","Dodoma","Chemba","Dalai","Tandala",5657,"n"
"village","Dodoma","Chemba","Dalai","Mtakuja",2644,"n"
"village","Dodoma","Chemba","Dalai","Piho",633,"n"
"village","Dodoma","Chemba","Dalai","Kelema Maziwani",3380,"n"
"ward","Dodoma","Chemba","Jangalo","",17764,"y"
"village","Dodoma","Chemba","Jangalo","Mlongia",5140,"n"
"village","Dodoma","Chemba","Jangalo","Itolwa",8917,"n"
"village","Dodoma","Chemba","Jangalo","Jangalo",3707,"n"
"ward","Dodoma","Chemba","Mrijo","",13104,"y"
"village","Dodoma","Chemba","Mrijo","Nkulari",2047,"n"
"village","Dodoma","Chemba","Mrijo","Mrijo Chini",4522,"n"
"village","Dodoma","Chemba","Mrijo","Mrijo Juu",2774,"n"
"village","Dodoma","Chemba","Mrijo","Magasa",1645,"n"
"village","Dodoma","Chemba","Mrijo","Isusumya",2116,"n"
"ward","Dodoma","Chemba","Chandama","",18705,"y"
"village","Dodoma","Chemba","Chandama","Mapango",3516,"n"
"village","Dodoma","Chemba","Chandama","Chandama",4596,"n"
"village","Dodoma","Chemba","Chandama","Soya",10593,"n"
"ward","Dodoma","Chemba","Goima","",12261,"y"
"village","Dodoma","Chemba","Goima","Goima",3175,"n"
"village","Dodoma","Chemba","Goima","Jenjeluse",1171,"n"
"village","Dodoma","Chemba","Goima","Igunga",2970,"n"
"village","Dodoma","Chemba","Goima","Mirambo",2467,"n"
"village","Dodoma","Chemba","Goima","Makamaka",2478,"n"
"ward","Dodoma","Chemba","Chemba","",16047,"y"
"village","Dodoma","Chemba","Chemba","Chemba",1471,"n"
"village","Dodoma","Chemba","Chemba","Chambalo",1902,"n"
"village","Dodoma","Chemba","Chemba","Ombiri",4318,"n"
"village","Dodoma","Chemba","Chemba","Pangalua",2621,"n"
"village","Dodoma","Chemba","Chemba","Kambi ya Nyasa",1517,"n"
"village","Dodoma","Chemba","Chemba","Kidoka",4217,"n"
"ward","Dodoma","Chemba","Paranga","",12297,"y"
"village","Dodoma","Chemba","Paranga","Isini",1039,"n"
"village","Dodoma","Chemba","Paranga","Kelema Balai",3231,"n"
"village","Dodoma","Chemba","Paranga","Sori",2143,"n"
"village","Dodoma","Chemba","Paranga","Cheku",3010,"n"
"village","Dodoma","Chemba","Paranga","Paranga",1215,"n"
"village","Dodoma","Chemba","Paranga","Kelema Kuu",1659,"n"
"ward","Dodoma","Chemba","Gwandi","",7971,"y"
"village","Dodoma","Chemba","Gwandi","Gwandi",1412,"n"
"village","Dodoma","Chemba","Gwandi","Rofati",2112,"n"
"village","Dodoma","Chemba","Gwandi","Tumbakose",1771,"n"
"village","Dodoma","Chemba","Gwandi","Hawelo",1247,"n"
"village","Dodoma","Chemba","Gwandi","Humekwa",1430,"n"
"ward","Dodoma","Chemba","Farkwa","",9991,"y"
"village","Dodoma","Chemba","Farkwa","Bubutole",1419,"n"
"village","Dodoma","Chemba","Farkwa","Mombose",1294,"n"
"village","Dodoma","Chemba","Farkwa","Farkwa",2096,"n"
